Idc,my_id
1,54
2,5
3,65
4,20
5,13
6,11
7,161
8,18
9,34
10,38
11,1
12,80
13,3
14,6
15,10
16,14
17,72
18,33
19,19
20,22
21,225
22,30
23,109
24,83
25,44
26,32
27,4
28,67
29,144
30,9
31,12
32,64
33,45
34,31
35,17
36,7
37,23
38,145
39,25
40,41
41,39
42,40
43,95
44,108
45,160
46,93
47,0
48,2
49,43
50,156
51,99
52,28
53,75
54,29
55,15
56,37
57,36
58,76
59,47
60,77
61,96
62,24
63,8
64,21
65,97
66,92
67,35
68,16
69,81
70,27
2,51
3,105
4,60
5,100
6,71
7,209
8,46
9,245
10,50
11,101
12,153
13,69
14,55
15,119
16,26
17,79
18,226
19,110
20,52
22,180
23,129
24,111
25,146
26,162
27,63
28,73
29,157
30,103
31,84
32,89
33,177
34,94
35,165
36,59
37,56
38,173
39,112
40,113
41,57
42,125
43,136
44,141
45,221
46,128
47,85
48,42
49,66
51,201
52,148
54,164
55,68
56,49
57,61
58,88
59,82
60,104
61,163
62,124
63,87
64,48
65,193
66,140
67,98
68,149
69,169
70,78
2,102
3,195
4,150
5,179
6,74
7,224
8,181
10,53
11,234
12,175
13,106
14,58
16,116
17,91
18,229
19,133
20,62
23,211
24,137
25,189
26,213
27,86
28,107
29,172
30,115
31,154
32,171
33,210
34,132
35,238
36,70
37,126
38,208
39,167
40,194
41,114
42,130
44,147
46,168
47,170
48,117
49,121
52,158
54,176
55,90
56,230
57,178
58,143
59,185
60,131
61,205
62,142
63,127
64,166
65,227
66,152
67,197
68,174
69,192
70,120
2,250
3,235
4,190
5,218
6,123
7,237
8,244
10,246
11,243
12,204
13,251
14,118
16,183
17,139
18,241
19,248
20,182
23,232
24,200
25,212
26,253
27,186
28,203
29,220
30,202
31,191
32,207
33,228
34,184
35,240
36,122
37,134
38,236
39,206
40,231
41,198
42,215
44,216
46,223
47,255
48,247
49,199
52,188
54,222
55,187
56,242
57,214
58,155
59,196
60,219
61,217
62,151
63,138
64,254
65,233
66,159
67,249
68,252
69,239
70,135
